Date,Flights
Thu Jun 09 00:00:00 PDT 2016,13
Fri Jun 10 00:00:00 PDT 2016,9
Sat Jun 11 00:00:00 PDT 2016,1
Sun Jun 12 00:00:00 PDT 2016,1
Mon Jun 13 00:00:00 PDT 2016,8
Tue Jun 14 00:00:00 PDT 2016,7
Wed Jun 15 00:00:00 PDT 2016,8
Thu Jun 16 00:00:00 PDT 2016,7
Fri Jun 17 00:00:00 PDT 2016,7
Sun Jun 19 00:00:00 PDT 2016,1
Mon Jun 20 00:00:00 PDT 2016,6
Wed Jun 22 00:00:00 PDT 2016,8
Thu Jun 23 00:00:00 PDT 2016,3
Fri Jun 24 00:00:00 PDT 2016,1
Sat Jun 25 00:00:00 PDT 2016,7
Sun Jun 26 00:00:00 PDT 2016,1
Mon Jun 27 00:00:00 PDT 2016,1
Tue Jun 28 00:00:00 PDT 2016,1
Wed Jun 29 00:00:00 PDT 2016,4
Thu Jun 30 00:00:00 PDT 2016,4
Fri Jul 01 00:00:00 PDT 2016,1
Sat Jul 02 00:00:00 PDT 2016,1
Sun Jul 03 00:00:00 PDT 2016,3
Mon Jul 04 00:00:00 PDT 2016,1
Tue Jul 05 00:00:00 PDT 2016,6
Wed Jul 06 00:00:00 PDT 2016,6
Thu Jul 07 00:00:00 PDT 2016,8
Fri Jul 08 00:00:00 PDT 2016,8
Sat Jul 09 00:00:00 PDT 2016,1
Sun Jul 10 00:00:00 PDT 2016,1
Mon Jul 11 00:00:00 PDT 2016,9
Tue Jul 12 00:00:00 PDT 2016,6
Wed Jul 13 00:00:00 PDT 2016,6
Thu Jul 14 00:00:00 PDT 2016,1
Fri Jul 15 00:00:00 PDT 2016,11
Sat Jul 16 00:00:00 PDT 2016,1
Sun Jul 17 00:00:00 PDT 2016,1
Mon Jul 18 00:00:00 PDT 2016,8
Tue Jul 19 00:00:00 PDT 2016,5
Wed Jul 20 00:00:00 PDT 2016,2
Thu Jul 21 00:00:00 PDT 2016,3
Fri Jul 22 00:00:00 PDT 2016,13
Sat Jul 23 00:00:00 PDT 2016,2
Sun Jul 24 00:00:00 PDT 2016,4
Mon Jul 25 00:00:00 PDT 2016,6
Tue Jul 26 00:00:00 PDT 2016,8
Wed Jul 27 00:00:00 PDT 2016,6
Thu Jul 28 00:00:00 PDT 2016,8
Fri Jul 29 00:00:00 PDT 2016,6
Sat Jul 30 00:00:00 PDT 2016,8
Sun Jul 31 00:00:00 PDT 2016,1
Mon Aug 01 00:00:00 PDT 2016,8
Tue Aug 02 00:00:00 PDT 2016,8
Thu Aug 04 00:00:00 PDT 2016,12
Fri Aug 05 00:00:00 PDT 2016,2
Sun Aug 07 00:00:00 PDT 2016,4
Mon Aug 08 00:00:00 PDT 2016,6
Tue Aug 09 00:00:00 PDT 2016,6
Wed Aug 10 00:00:00 PDT 2016,8
Thu Aug 11 00:00:00 PDT 2016,5
Fri Aug 12 00:00:00 PDT 2016,7


